"SRCE","1st Source Corporation","34.52","$892.92M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"TWOU","2U, Inc.","34.85","$1.63B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"CAFD","8point3 Energy Partners LP","15.66","$1.11B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","13.53","$1.21B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"LPTN","Lpath, Inc.","1.87","$4.44M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/lptn",
"LPLA","LPL Financial Holdings Inc.","26.97","$2.4B","2010","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lpla",
"LRAD","LRAD Corporation","1.8916","$60.15M","n/a","Consumer Non-Durables","Consumer Electronics/`Appliances","http://www.nasdaq.com/symbol/lrad",
"LYTS","LSI Industries Inc.","10.98","$273.6M","1985","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/lyts",
"LUNA","Luna Innovations Incorporated","1.2","$33.17M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/luna",
"MIIIU","M III Acquisition Corp.","9.77","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/miiiu",
